timeEDT,droneType,droneID,flightID,latitude,longitude,speed,Altitude (m),Home Longitude,Home Latitude,Pilot Longitude,Pilot Latitude
7/4/2021 1:11,Mavic Mini 2,358,1309,32.96927499,-96.91116447,0.02236068,117.2,-96.91118166,32.96927499,-96.91113582,32.96925781
7/4/2021 1:11,Mavic Mini 2,433,640,32.77025238,-97.19205703,0.02236068,27.3,-97.19205703,32.77025238,-97.19209714,32.77018362
7/4/2021 1:11,Mavic Mini 2,433,640,32.7702581,-97.19205703,0.056568542,27.2,-97.19205703,32.77025238,-97.19210287,32.77022373
7/4/2021 1:12,Mavic Mini 2,433,640,32.7702581,-97.19205703,0.03,27.3,-97.19205703,32.77025238,-97.19212578,32.7702581
7/4/2021 1:12,Mavic Mini 2,433,640,32.77025238,-97.19206276,0.031622777,27.2,-97.19205703,32.77025238,-97.19212578,32.7702581
7/4/2021 1:12,Mavic Mini 2,433,640,32.77025238,-97.19205703,0.01,27.2,-97.19205703,32.77025238,-97.19212578,32.77024665
7/4/2021 1:13,Mavic Mini 2,433,640,32.77025238,-97.19205703,0.03,27.2,-97.19205703,32.77025238,-97.19238934,32.77013778
7/4/2021 1:13,Mavic Mini 2,433,640,32.77025238,-97.19205703,0,27.2,-97.19205703,32.77025238,-97.19202265,32.770218
7/4/2021 1:14,Mavic Mini 2,433,640,32.77025238,-97.19205703,0,27.2,-97.19205703,32.77025238,-97.19202265,32.77022373
7/4/2021 1:14,Mavic Mini 2,433,640,32.77025238,-97.19205703,0,27.2,-97.19205703,32.77025238,-97.19201692,32.77022946
7/4/2021 1:14,Mavic Mini 2,433,640,32.7702581,-97.19205703,0.041231056,27.1,-97.19205703,32.77025238,-97.19201692,32.77023519
7/4/2021 1:14,Mavic Mini 2,433,640,32.7702581,-97.19205703,0.041231056,27.1,-97.19205703,32.77025238,-97.19201692,32.77023519
7/4/2021 1:15,Mavic Mini 2,433,640,32.7702581,-97.19205703,0.028284271,27.1,-97.19205703,32.77025238,-97.19214297,32.7702581
7/4/2021 1:15,Mavic Mini 2,433,640,32.7702581,-97.19205703,0.072111026,27.1,-97.19205703,32.77025238,-97.19201119,32.77023519
7/4/2021 1:15,Mavic Mini 2,433,640,32.7702581,-97.19205703,0.036055513,27.1,-97.19205703,32.77025238,-97.19201119,32.77023519
7/4/2021 1:15,Mavic Mini 2,433,640,32.77025238,-97.1920513,0.04,27.1,-97.19205703,32.77025238,-97.19201119,32.77023519
