,timeEDT,flightID,latitude,longitude,speed,altitude_m,radius,phi,theta,distance,timeInterval,avgSpeed
8674,78570,855,32.9997334313855,-97.0285119555522,0.01,119.4,6378256.4,1.4481256516547252,2.1467503274530197,0.125,2.0,0.0625
8675,78572,855,32.9997334313855,-97.0285119555522,0.01,119.3,6378256.3,1.4481256516547252,2.1467503274530197,0.0,8.0,0.0
8676,78580,855,32.9997334313855,-97.0285119555522,0.01,119.3,6378256.3,1.4481256516547252,2.1467503274530197,0.0,2.0,0.0
8677,78582,855,32.9997334313855,-97.0285119555522,0.0,119.3,6378256.3,1.4481256516547252,2.1467503274530197,0.0,2.0,0.0
8678,78584,855,32.9997334313855,-97.0285119555522,0.01,119.3,6378256.3,1.4481256516547252,2.1467503274530197,0.125,2.0,0.0625
8679,78586,855,32.9997334313855,-97.0285119555522,0.0,119.4,6378256.4,1.4481256516547252,2.1467503274530197,0.5590169943749475,10.0,0.05590169943749475
8680,78596,855,32.9997334313855,-97.0285176851301,0.01,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8681,78600,855,32.9997334313855,-97.0285176851301,0.0,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8682,78604,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8683,78608,855,32.9997334313855,-97.0285176851301,0.02,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.0,32.0,0.0
8684,78640,855,32.9997334313855,-97.0285176851301,0.0,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.0,8.0,0.0
8685,78648,855,32.9997334313855,-97.0285176851301,0.01,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.0,14.0,0.0
8686,78662,855,32.9997334313855,-97.0285176851301,0.01,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8687,78666,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8688,78670,855,32.9997334313855,-97.0285176851301,0.02,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.0,2.0,0.0
8689,78672,855,32.9997334313855,-97.0285176851301,0.01,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8690,78676,855,32.9997334313855,-97.0285176851301,0.03,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8691,78680,855,32.9997334313855,-97.0285176851301,0.01,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8692,78684,855,32.9997334313855,-97.0285176851301,0.03,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,2.0,0.0
8693,78686,855,32.9997334313855,-97.0285176851301,0.02,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8694,78690,855,32.9997334313855,-97.0285176851301,0.0223606797749978,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8695,78694,855,32.9997334313855,-97.0285176851301,0.0,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8696,78698,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8697,78702,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8698,78706,855,32.9997334313855,-97.0285176851301,0.02,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,2.0,0.0
8699,78708,855,32.9997334313855,-97.0285176851301,0.0,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,14.0,0.008928571428571428
8700,78722,855,32.9997334313855,-97.0285176851301,0.02,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8701,78726,855,32.9997334313855,-97.0285176851301,0.02,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,10.0,0.0
8702,78736,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8703,78740,855,32.9997334313855,-97.0285176851301,0.0,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,14.0,0.008928571428571428
8704,78754,855,32.9997334313855,-97.0285176851301,0.0223606797749978,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
